language,count
Frisian,1
Egyptian (Ancient),1
Southern Sotho,1
Somali,1
Sign Languages,1
Shona,1
Maltese,1
Fur,1
Scots,1
Sardinian,1
"Greek, Ancient (to 1453)",1
Haida,1
Haitian,1
Hakka,1
East-Greenlandic,1
Hawaiian,1
Hopi,1
Russian Sign Language,1
Ibo,1
Rhaetian,1
Inupiaq,1
Jola-Fonyi,1
Kabuverdianu,1
Nyaneka,1
Kinyarwanda,1
Nenets,1
Kru,1
Low German,1
Mari,1
Samoan,1
Spanish Sign Language,1
Mandingo,1
Algonquin,1
Aramaic,1
Ukrainian Sign Language,1
Berber languages,1
Burmese,1
Wayuu,1
Belarusian,1
Chechen,1
Yakut,1
Aymara,1
Cree,1
Crimean Tatar,1
Tarahumara,1
Assamese,1
Acholi,1
Tatar,1
Hokkien,2
Gujarati,2
Welsh,2
Pushto,2
Bambara,2
Scanian,2
Brazilian Sign Language,2
Akan,2
Tupi,2
Tswana,2
Sicilian,2
Sinhalese,2
Yoruba,2
Nahuatl,2
Dyula,2
Tajik,2
Guarani,2
Irish,2
Luxembourgish,3
Maya,3
Lao,3
Quechua,3
Azerbaijani,3
Maori,3
Romany,3
Saami,3
Faroese,3
Dzongkha,3
Amharic,4
Swahili,4
Yiddish,4
Lingala,4
Kirghiz,4
Uzbek,4
Gallegan,4
Neapolitan,4
More,4
Esperanto,5
Inuktitut,5
Dari,6
Nepali,6
American Sign Language,6
Xhosa,6
Khmer,7
Zulu,7
Wolof,8
Aboriginal,8
Malay,8
Mongolian,9
Punjabi,9
Latin,9
Tibetan,9
Kannada,9
Basque,11
Macedonian,12
Kazakh,12
Armenian,12
Albanian,13
Lithuanian,13
Tagalog,14
Bosnian,14
Kurdish,14
Afrikaans,15
Slovak,15
Min Nan,16
Slovenian,20
Vietnamese,21
Latvian,22
Urdu,24
Bulgarian,26
Ukrainian,26
Swiss German,28
Croatian,29
Flemish,32
Catalan,33
Georgian,33
Bengali,42
Serbo-Croatian,42
Indonesian,47
Estonian,51
Marathi,54
Icelandic,56
Chinese,61
Serbian,66
Filipino,69
Romanian,106
Telugu,116
Thai,119
Arabic,153
Hebrew,155
Malayalam,160
Hungarian,166
Norwegian,177
Greek,181
Persian,189
Czech,212
Danish,258
Turkish,265
Tamil,278
Dutch,377
Polish,378
Cantonese,437
Finnish,457
Portuguese,474
Swedish,483
Mandarin,627
Korean,680
Hindi,888
None,911
German,1320
Russian,1445
Spanish,1708
Japanese,1893
Italian,2406
French,3382
English,38541
